,Jakarta (Indonesia),Jakarta (Indonesia),Jakarta (Indonesia),Jakarta (Indonesia),Jakarta (Indonesia),Bangkok (Thái Lan),Bangkok (Thái Lan),Bangkok (Thái Lan),Bangkok (Thái Lan),Bangkok (Thái Lan),Singapore (Singapore),Singapore (Singapore),Singapore (Singapore),Singapore (Singapore),Singapore (Singapore),Manila (Philippines),Manila (Philippines),Manila (Philippines),Manila (Philippines),Manila (Philippines),Kuala Lumpur (Malaysia),Kuala Lumpur (Malaysia),Kuala Lumpur (Malaysia),Kuala Lumpur (Malaysia),Kuala Lumpur (Malaysia),Hong Kong (Trung Quốc),Hong Kong (Trung Quốc),Hong Kong (Trung Quốc),Hong Kong (Trung Quốc),Hong Kong (Trung Quốc),Seoul (Hàn Quốc),Seoul (Hàn Quốc),Seoul (Hàn Quốc),Seoul (Hàn Quốc),Seoul (Hàn Quốc),Taipei (Đài Loan),Taipei (Đài Loan),Taipei (Đài Loan),Taipei (Đài Loan),Taipei (Đài Loan),Thâm Quyến (Trung Quốc),Thâm Quyến (Trung Quốc),Thâm Quyến (Trung Quốc),Thâm Quyến (Trung Quốc),Thâm Quyến (Trung Quốc),Osaka (Nhật Bản),Osaka (Nhật Bản),Osaka (Nhật Bản),Osaka (Nhật Bản),Osaka (Nhật Bản),TP. Hồ Chí Minh (Việt Nam),TP. Hồ Chí Minh (Việt Nam),TP. Hồ Chí Minh (Việt Nam),TP. Hồ Chí Minh (Việt Nam),TP. Hồ Chí Minh (Việt Nam)
,Linear Regression,Prophet,10% Growth,GDP Growth,Exponential Smoothing,Linear Regression,Prophet,10% Growth,GDP Growth,Exponential Smoothing,Linear Regression,Prophet,10% Growth,GDP Growth,Exponential Smoothing,Linear Regression,Prophet,10% Growth,GDP Growth,Exponential Smoothing,Linear Regression,Prophet,10% Growth,GDP Growth,Exponential Smoothing,Linear Regression,Prophet,10% Growth,GDP Growth,Exponential Smoothing,Linear Regression,Prophet,10% Growth,GDP Growth,Exponential Smoothing,Linear Regression,Prophet,10% Growth,GDP Growth,Exponential Smoothing,Linear Regression,Prophet,10% Growth,GDP Growth,Exponential Smoothing,Linear Regression,Prophet,10% Growth,GDP Growth,Exponential Smoothing,Linear Regression,Prophet,10% Growth,GDP Growth,Exponential Smoothing
2019,199.0,199.0,199.0,199.0,199.0,173.8,173.8,173.8,173.8,173.8,376.9,376.9,376.9,376.9,376.9,119.7,119.7,119.7,119.7,119.7,55.6,55.6,55.6,55.6,55.6,363.1,363.1,363.1,363.1,363.1,374.0,374.0,374.0,374.0,374.0,91.0,91.0,91.0,91.0,91.0,381.4,381.4,381.4,381.4,381.4,377.9,377.9,377.9,377.9,377.9,78.914615,78.914615,78.914615,78.914615,78.914615
2020,189.8,189.8,189.8,189.8,189.8,150.0,150.0,150.0,150.0,150.0,349.5,349.5,349.5,349.5,349.5,121.2,121.2,121.2,121.2,121.2,51.7,51.7,51.7,51.7,51.7,344.9,344.9,344.9,344.9,344.9,370.0,370.0,370.0,370.0,370.0,90.0,90.0,90.0,90.0,90.0,374.0,374.0,374.0,374.0,374.0,350.0,350.0,350.0,350.0,350.0,79.039115,79.039115,79.039115,79.039115,79.039115
2021,203.7,203.7,203.7,203.7,203.7,155.0,155.0,155.0,155.0,155.0,434.1,434.1,434.1,434.1,434.1,117.7,117.7,117.7,117.7,117.7,53.0,53.0,53.0,53.0,53.0,369.0,369.0,369.0,369.0,369.0,405.0,405.0,405.0,405.0,405.0,98.0,98.0,98.0,98.0,98.0,450.0,450.0,450.0,450.0,450.0,330.0,330.0,330.0,330.0,330.0,79.515269,79.515269,79.515269,79.515269,79.515269
2022,202.6,202.6,202.6,202.6,202.6,149.0,149.0,149.0,149.0,149.0,498.5,498.5,498.5,498.5,498.5,113.8,113.8,113.8,113.8,113.8,54.5,54.5,54.5,54.5,54.5,358.7,358.7,358.7,358.7,358.7,412.0,412.0,412.0,412.0,412.0,100.0,100.0,100.0,100.0,100.0,470.0,470.0,470.0,470.0,470.0,300.0,300.0,300.0,300.0,300.0,90.243423,90.243423,90.243423,90.243423,90.243423
2023,225.9,225.9,225.9,225.9,225.9,154.0,154.0,154.0,154.0,154.0,501.4,501.4,501.4,501.4,501.4,118.8,118.8,118.8,118.8,118.8,56.7,56.7,56.7,56.7,56.7,380.8,380.8,380.8,380.8,380.8,421.0,421.0,421.0,421.0,421.0,105.0,105.0,105.0,105.0,105.0,500.0,500.0,500.0,500.0,500.0,290.0,290.0,290.0,290.0,290.0,96.1765,96.1765,96.1765,96.1765,96.1765
2024,224.1800000000003,224.1781066953399,248.49000000000004,238.2076078789855,224.18000056395715,144.1800000000003,144.18279635631893,169.4,152.05990430939823,144.18000013518122,551.4800000000105,551.4771839986711,551.54,541.9547517183286,551.480000002657,115.47999999999979,115.47171049889143,130.68,123.44694986860172,115.48069925348018,55.799999999999955,55.79128152362849,62.37000000000001,58.1578529927927,58.89706134325911,378.0599999999995,378.09552901706246,418.88000000000005,403.68925110756885,378.05999034318654,437.2000000000007,437.2043385325526,463.1,426.2852083493617,437.19999907013244,108.20000000000073,108.21570171721163,115.50000000000001,111.16854143728314,108.19999995869222,535.0400000000081,535.0280096835123,550.0,530.0541637441818,535.0401736812117,261.8399999999965,276.1685757024036,319.0,278.26880732564473,261.83987089021986,98.49620779999896,98.50737416353002,105.79415000000002,103.87062000000002,98.49620487933093
2025,230.84000000000015,230.82947857507517,273.33900000000006,251.18576561057333,230.8400008106357,140.11999999999898,140.12818632069914,186.34000000000003,150.14424999080094,140.1200002464354,591.2800000000134,591.2389258697783,606.6940000000001,585.7896946750602,591.280000193333,114.55999999999995,114.55055385016566,143.74800000000002,128.27566861835913,114.56090355989036,56.299999999999955,56.28825352464045,68.60700000000001,59.653189854167316,61.095221666222685,382.97999999999956,383.01662168327823,460.7680000000001,427.9543368166749,382.979982432981,450.8000000000029,450.7881840806895,509.4100000000001,431.6367668823248,450.7999986995948,112.00000000000091,112.01719617462301,127.05000000000003,117.69947243136131,111.99999995227805,568.3600000000006,568.3108362666585,605.0000000000001,561.9148330050879,568.3602155939217,239.25999999999476,263.15528285998266,350.90000000000003,267.01216941529924,239.25982186839423,103.06901560000006,103.08266999014917,116.37356500000003,112.18026960000002,103.06901140362736
2026,237.5,237.48085045481042,300.6729000000001,264.87100646014255,237.50000105731425,136.0599999999995,136.07357628507933,204.97400000000007,148.2527291312179,136.0600003576896,631.0800000000017,631.0006677408853,667.3634000000002,633.1701406796526,631.080000384009,113.63999999999987,113.6293972014399,158.12280000000004,133.29326627350125,113.64110786630056,56.799999999999955,56.7852255256524,75.46770000000002,61.18697435784507,63.293381989186265,387.89999999999964,387.93771434949394,506.8448000000002,453.67795624411707,387.89997452277544,464.40000000000146,464.3720296288265,560.3510000000002,437.0555085550516,464.3999983290572,115.80000000000018,115.81869063203439,139.75500000000005,124.61408264887768,115.79999994586387,601.6800000000076,601.5936628498047,665.5000000000002,595.6905938079268,601.6802575066317,216.6800000000003,250.14199001756188,385.9900000000001,256.21088939527004,216.67977284656865,107.64182339999934,107.65796581676832,128.01092150000005,121.15469116800003,107.64181792792378
2027,244.15999999999985,244.1322223345457,330.7401900000001,279.3018541185032,244.1600013039928,132.0,132.01896624945954,225.47140000000007,146.3850376967541,132.0000004689438,670.8800000000047,670.7624096119924,734.0997400000002,684.3828607648592,670.880000574685,112.7199999999998,112.70824055271412,173.93508000000006,138.50713097211354,112.72131217271074,57.299999999999955,57.28219752666436,83.01447000000003,62.76019505780123,65.49154231214985,392.8199999999997,392.8588070157097,557.5292800000002,480.94777941228983,392.8199666125699,478.00000000000364,477.9558751769634,616.3861000000002,442.5422767805852,477.9999979585196,119.60000000000036,119.62018508944577,153.73050000000003,131.9349124821027,119.59999993944972,635.0,634.8764894329508,732.0500000000002,631.4965591022714,635.0002994193418,194.09999999999854,237.12869717514099,424.5890000000001,245.84654695125676,194.09972382474305,112.21463120000044,112.23326164338751,140.81201365000004,130.84706646144002,112.21462445222019
